Year,CABLE-POP,CARDAMOM,CLASSIC,CLM-FATES,CLM6.0,DLEM,E3SM,EDv3,ELM-FATES,GDSTEM,IBIS,ISAM,JSBACH,JULES,LPJ-EOSIM,LPJ-GUESS,LPJmL,LPX-Bern,ORCHIDEE,VISIT-UT
1700,0.343370684,,-0.237762082,,0.024061612,-0.60239939,0.229440637,0.943027976,,1.035758688,-0.470867226,-0.08246776,,0.941015231,-0.537074852,-1.52259396,-1.242824087,0.173316162,-0.16397969,0.310268539
1701,-1.215264057,,-1.671904233,0.245441767,-0.316250162,-1.039392641,0.063668679,0.089076355,-0.253369615,-3.150708522,-1.429113679,-0.805540354,-0.866343005,-0.277665561,-0.648664709,-0.32079009,-1.386186605,-0.617976966,-0.325621475,-0.366260131
1702,0.665131124,,2.635826995,-0.03365334,-0.814487314,0.747876249,-0.784257866,0.78683323,-0.113036296,-2.112971209,-1.657001653,-0.890299137,0.287986997,-0.413006277,-0.648657486,-0.736069128,0.473654139,-1.521106471,-0.451487772,-1.783030664
1703,0.971651753,,0.523408672,-0.09579001,0.007276217,0.930547417,0.143674157,0.097140292,0.407195078,-1.040494906,-0.089407228,0.220120258,0.602575532,0.567006942,-0.301006895,1.119192237,1.659894165,-0.083023049,0.487705951,0.084110063
1704,-1.696812402,,-0.588558269,0.482642263,0.225724299,-1.382140309,0.571672506,-0.72678372,-0.083268915,-1.926190971,0.037077187,0.623171723,-2.268869151,0.691644729,0.952130074,0.241158313,-0.381098428,0.747436221,0.006353035,1.122195646
1705,-0.943239213,,0.860502725,-0.369591941,-0.922103367,0.621312774,-0.439538551,-0.531388927,-0.46547792,-1.345627215,-1.13441647,-1.016146625,-1.331776991,-1.069473059,0.227508465,-0.433496082,0.331039269,-0.342261342,-0.667136774,-0.734929822
1706,-0.055981706,,-0.42317073,-0.020415205,0.242476105,0.457894062,-0.192900664,-0.092222343,-0.241107359,-1.432567009,-0.555440959,0.192513802,0.580918071,0.902974327,-0.906714174,-0.343899974,-1.798068291,0.559666694,0.403548394,0.969914286
1707,-0.569803007,,-0.366040182,0.206092266,-0.365855162,0.048971098,0.09500479,-0.59239934,0.179241954,-1.514896257,-0.971938328,-0.102338114,-1.661349369,0.415632387,0.347773809,0.537236454,0.051731353,0.541581918,-0.113345494,0.328080181
1708,-0.370407015,,1.950998647,0.085052515,-0.155006661,-0.075543283,-0.041166652,-0.236992357,-0.052696874,-1.336973591,-0.372909896,-0.043892845,-1.289784905,0.144362439,0.267778523,-1.311777812,-0.040626855,0.5399488,-0.408077388,0.084377296
1709,0.073357912,,1.781376571,0.182787881,-0.266666303,0.314242091,0.048143483,-0.277372787,-0.189149527,-1.704627177,-0.465191591,-0.099968928,-0.68361199,-0.020725749,-0.616237176,-0.771639433,-0.755490073,0.46272569,0.286004481,0.356367145
1710,0.16291048,,-2.072940677,-0.16317926,0.299753749,-0.43550779,0.51757396,-0.139433387,-0.048956221,-1.082262168,-0.162747868,0.118987759,0.48615799,0.589075499,-0.136868551,-0.026459365,0.173671092,0.697460762,-0.168615922,0.673287787
1711,-1.242358552,,-1.564218626,0.615864641,-0.762569346,-0.242359336,-0.240234267,-0.436586091,-0.267857486,-1.711924784,-0.423803974,-0.71782057,-1.780331592,-0.507258612,-0.449765148,-1.487502978,-1.424819979,-1.18889016,-0.607167347,-0.306984156
1712,1.338878868,,-0.587961689,-0.767363775,-0.416845516,-0.239391028,-0.352337109,0.521281701,0.266432008,-0.804032197,-0.580285641,-0.192903904,-0.060318667,-0.236339806,-0.132857405,-1.763967552,-0.158267971,-0.743947767,-0.291632542,-0.853225854
1713,-0.610516792,,-1.023214717,0.066561901,-0.643677851,-0.12388201,0.049972113,-0.626200276,0.083394668,-1.378009426,0.150242715,-0.058560369,-0.974658259,-0.040056992,0.343446525,-1.004161387,2.032561011,-0.406850037,0.042669911,0.410195874
1714,0.358584888,,0.047285018,0.26200868,-0.454169904,-0.565435909,0.068221239,-0.076631251,0.16792273,-1.163676767,-0.651341053,-0.135896924,0.316625557,-0.287250732,0.423716701,-1.216639158,-1.10385014,-0.255977033,0.039703465,-0.584427672
1715,-1.469121702,,0.128302733,-0.467737494,-0.567185621,1.097012448,-0.03727483,-0.949848847,-0.467795515,0.010135565,-0.331448627,-1.141306389,-0.172406215,-1.480318977,-0.870686064,-0.295731633,-0.191118947,-0.23559442,-0.330736395,-0.630165876
1716,0.100561313,,1.122508454,-0.552171229,-0.198437581,1.244299055,-0.424764374,-0.884638,-0.32193828,-0.981325032,-0.392095613,0.2073515,-0.329159402,0.271112369,0.507224599,-0.377590741,0.764241964,-0.002334511,0.187101881,-0.186214679
1717,1.553431192,,-0.770459345,0.222438919,0.176445271,-0.283449931,0.524730923,0.634841105,0.046831922,0.210536084,-0.315221311,0.819130114,1.703561777,1.214216229,0.573908066,0.788358066,-0.681448325,0.429708031,0.681849965,1.83054482
1718,-0.996143231,,-0.772090804,0.953645992,-0.396002934,-1.159543033,0.503413381,-0.229486941,-0.522468574,-0.503032524,-0.641987491,0.237267194,-1.068108349,-0.031226672,-0.258589252,-1.397024519,0.567335406,-0.479105183,-0.498399602,-0.353163416
1719,-0.392579931,,-0.347330496,-0.279774046,-0.944149808,0.468591011,0.002164587,-0.441185948,-0.445839906,0.196881774,-0.441938108,-0.92855768,0.303896042,-1.25845531,0.18686871,-1.568208449,-1.718787534,-0.769931914,-0.482070595,-1.198331864
1720,1.421357477,,0.048754709,0.595501762,-0.212665966,-0.891721765,0.231851477,0.684719519,0.494072931,-0.018012532,-0.076236162,-0.249202044,-0.308198047,0.362601334,0.520097868,-1.020515684,1.200210916,0.13164866,-0.038612716,0.247129526
1721,-0.814518266,,-1.921882005,0.594614069,-0.252878899,-1.233713593,0.07297762,0.03949272,-0.22226333,-1.411838062,-0.306547103,-0.591481784,-2.110988807,-0.556780872,0.419708888,0.270382069,1.118496644,-0.64112921,-0.166831085,-0.377682726
1722,1.003493556,,2.615969004,0.223541442,-0.689259034,0.600850827,-0.781133181,0.793370914,-0.096166997,-0.556851079,-0.909245867,-0.957231907,0.254067305,-0.617717481,0.703831019,-0.215435379,0.834414639,-1.512571581,-0.40106564,-1.780043582
1723,1.183835625,,0.703024302,0.219011971,0.0972009,0.878477002,0.155661443,0.104340055,0.381395069,0.213902084,0.507788902,0.173663492,0.705165993,0.371519942,-1.227449444,1.655565841,0.485660987,-0.082224527,0.50020388,0.12215892
1724,-1.589569361,,-0.622862436,0.742018004,0.276908748,-1.431090117,0.57786121,-0.68493257,0.031663296,-0.566734575,0.546413147,0.59525897,-2.121102494,0.546031937,0.04306887,0.632098829,-0.542477224,0.739039892,0.036551298,1.151954434
1725,-0.782977617,,0.948927527,-0.196728988,-0.870334253,0.562761418,-0.441680748,-0.475218784,-0.101566486,-0.034784212,-0.684385481,-1.011729056,-1.17108554,-1.173525073,-0.213866374,-0.065416478,-1.805563981,-0.292350108,-0.666548016,-0.726853011
1726,0.110415309,,-0.032555955,0.209401038,0.298605361,0.420822657,-0.190674405,-0.028640308,-0.029442457,-0.072713991,-0.146431627,0.19562681,0.791612935,0.809488756,0.176093734,0.125043858,-1.166915156,0.569776185,0.396819132,1.000405494
1727,-0.440632361,,-0.270599739,0.521469819,-0.293226971,0.045451495,0.101382772,-0.506001198,-0.083896347,-0.236787988,-0.606503856,-0.082473446,-1.440754824,0.343916712,-0.191328253,0.985556336,-0.728222179,0.572067814,-0.10970068,0.35444241
1728,-0.271487921,,1.823217898,0.416762266,-0.070036348,-0.085304686,-0.034202208,-0.139790262,0.227072465,0.007467877,-0.039025144,-0.000341764,-1.057535085,0.086097875,0.018859976,-0.686873061,0.920920245,0.571459983,-0.377950105,0.09771897
1729,0.190982783,,1.599362122,0.536333728,-0.1833465,0.313298197,0.047617864,-0.190838162,0.10041485,-0.374551323,-0.16234009,-0.072619209,-0.469371727,-0.072704724,0.41228542,-0.217145336,0.412326842,0.506252069,0.303451891,0.397064295
1730,0.27085037,,-1.966406207,0.105607544,0.38672522,-0.437246574,0.518753253,-0.029375492,0.114014769,0.290924597,0.109051573,0.163992632,0.70944575,0.537729026,0.233004919,0.421611675,0.671643668,0.789496563,-0.145885066,0.691224582
1731,-1.169229927,,-1.740292292,0.852046072,-0.671202749,-0.241582366,-0.234676906,-0.341764233,0.06067989,-0.579480896,-0.176291517,-0.680565858,-1.558971192,-0.545695399,-0.448671024,-1.004111018,-1.581191778,-1.171543964,-0.597626786,-0.295141834
1732,1.447849649,,-0.533101083,-0.489812449,-0.342629647,-0.273685112,-0.339655784,0.604313817,0.715030074,0.002852098,-0.363067005,-0.146738266,0.176320535,-0.274945901,-0.937740131,-1.245313048,0.71665748,-0.693903665,-0.282051493,-0.828840999
